"Time (NPT)","PM2.5"
"2024-05-06 10:00:00",45.242
"2024-05-06 11:00:00",39.465
"2024-05-06 12:00:00",34.89
"2024-05-06 13:00:00",30.71
"2024-05-06 14:00:00",28.237
"2024-05-06 15:00:00",25.467
"2024-05-06 16:00:00",27.8
"2024-05-06 17:00:00",30.17
"2024-05-06 18:00:00",33.372
"2024-05-06 19:00:00",55.292
"2024-05-06 20:00:00",13.248
"2024-05-06 21:00:00",11.093
"2024-05-06 22:00:00",13.528
"2024-05-06 23:00:00",15.817
