date, pm25, pm10
2021/3/11, 146, 90
2021/3/12, 150, 79
2021/3/13, 139, 79
2021/3/14, 145, 94
2021/3/15, 151, 110
2021/3/16, 165, 138
2021/3/17, 175, 184
2021/3/18, 191, 
2021/3/20, 166, 161
2021/3/21, 172, 157
2021/3/22, 204, 169
2021/3/23, 202, 129
2021/3/24, 173, 139
2021/3/25, 182, 216
2021/3/26, 234, 194
2021/3/27, 266, 171
2021/3/28, 249, 156
2021/3/29, 251, 
2021/3/31, 174, 76
2020/10/3, 92, 46
2020/10/4, 86, 46
2020/10/5, 89, 48
2020/10/6, 91, 51
2020/10/12, 63, 20
2020/10/13, 68, 28
2020/10/14, 85, 20
2020/10/15, 71, 19
2020/10/16, 67, 16
2020/10/17, 57, 14
2020/10/18, 54, 18
2020/10/19, 65, 24
2020/10/20, 78, 25
2020/10/21, 81, 25
2020/10/22, 81, 22
2020/10/23, 73, 18
2020/10/24, 66, 
2020/10/26, 65, 21
2020/10/27, 73, 16
2020/10/28, 60, 12
2020/10/29, 49, 8
2020/10/30, 34, 8
2020/10/31, 35, 7
2020/11/1, 32, 14
2020/11/2, 52, 18
2020/11/3, 64, 22
2020/11/4, 71, 37
2020/11/5, 109, 37
2020/11/6, 109, 37
2020/11/7, 107, 28
2020/11/8, 86, 21
2020/11/9, 70, 13
2020/11/10, 52, 11
2020/11/11, 45, 12
2020/11/12, 47, 13
2020/11/13, 50, 14
2020/11/14, 56, 
2020/11/16, 66, 14
2020/11/17, 54, 14
2020/11/18, 55, 17
2020/11/19, 61, 18
2020/11/20, 64, 24
2020/11/21, 78, 33
2020/11/22, 97, 29
2020/11/23, 90, 31
2020/11/24, 94, 30
2020/11/25, 91, 24
2020/11/26, 78, 25
2020/11/27, 81, 17
2020/11/28, 63, 17
2020/11/29, 62, 20
2020/11/30, 66, 19
2020/12/1, 67, 22
2020/12/2, 74, 24
2020/12/3, 80, 29
2020/12/4, 89, 33
2020/12/5, 100, 38
2020/12/6, 112, 36
2020/12/7, 109, 42
2020/12/8, 123, 41
2020/12/9, 120, 38
2020/12/10, 113, 34
2020/12/11, 102, 31
2020/12/12, 96, 21
2020/12/13, 71, 24
2020/12/14, 72, 17
2020/12/15, 62, 20
2020/12/16, 68, 17
2020/12/17, 63, 23
2020/12/18, 76, 41
2020/12/19, 122, 38
2020/12/20, 113, 
2020/12/26, 97, 
2020/12/30, 95, 
2020/7/1, 56, 16
2020/7/2, 60, 16
2020/7/3, 60, 
2020/7/7, 39, 7
2020/7/8, 31, 6
2020/7/9, 27, 6
2020/7/10, 28, 5
2020/7/11, 20, 7
2020/7/12, 29, 7
2020/7/13, 32, 7
2020/7/14, 31, 8
2020/7/15, 35, 7
2020/7/16, 31, 7
2020/7/17, 31, 6
2020/7/18, 27, 4
2020/7/19, 18, 3
2020/7/20, 14, 4
2020/7/21, 20, 6
2020/7/22, 27, 7
2020/7/23, 31, 4
2020/7/24, 18, 6
2020/7/25, 28, 10
2020/7/26, 43, 10
2020/7/27, 39, 8
2020/7/28, 37, 8
2020/7/29, 36, 10
2020/7/30, 44, 9
2020/7/31, 40, 7
2020/8/1, 31, 10
2020/8/2, 39, 6
2020/8/3, 24, 6
2020/8/4, 27, 6
2020/8/5, 23, 7
2020/8/6, 28, 6
2020/8/7, 26, 8
2020/8/8, 38, 5
2020/8/9, 22, 9
2020/8/10, 37, 10
2020/8/11, 42, 
2020/8/14, 31, 9
2020/8/15, 40, 7
2020/8/16, 31, 7
2020/8/17, 30, 6
2020/8/18, 26, 6
2020/8/19, 25, 4
2020/8/20, 17, 3
2020/8/21, 12, 4
2020/8/22, 16, 5
